Date,Open,High,Low,Close,Adj Close,Volume
2017-10-31,839.549988,845.250000,830.150024,837.950012,795.186951,48817
2017-11-01,843.099976,860.000000,842.299988,852.650024,809.136841,67399
2017-11-02,860.000000,876.799988,855.250000,868.500000,824.177856,158858
2017-11-03,869.900024,869.900024,855.000000,858.650024,814.830566,48536
2017-11-06,860.150024,870.049988,855.299988,864.750000,820.619263,51087
2017-11-07,865.900024,894.000000,841.750000,868.750000,824.415161,257194
2017-11-08,872.000000,912.299988,872.000000,889.799988,844.390869,249397
2017-11-09,894.000000,912.299988,885.000000,908.700012,862.326416,77948
2017-11-10,910.000000,910.549988,891.000000,899.950012,854.022949,71336
2017-11-13,905.150024,924.900024,901.500000,905.950012,859.716736,148164
2017-11-14,910.200012,917.500000,892.049988,897.849976,852.030029,54199
2017-11-15,896.950012,900.950012,864.049988,871.599976,827.119629,83518
2017-11-16,880.599976,898.950012,864.000000,895.000000,849.325500,70803
2017-11-17,896.250000,905.000000,889.000000,892.700012,847.142822,53513
2017-11-20,894.000000,939.000000,885.000000,932.549988,884.959229,138464
2017-11-21,941.099976,947.400024,926.299988,931.650024,884.105164,122897
2017-11-22,939.000000,960.700012,928.000000,948.349976,899.952881,163139
2017-11-23,953.000000,966.849976,941.500000,949.200012,900.759521,147637
2017-11-24,949.599976,964.400024,947.849976,951.849976,903.274231,76644
2017-11-27,952.000000,976.000000,944.500000,970.849976,921.304688,94160
2017-11-28,970.000000,975.000000,961.049988,966.599976,917.271545,79482
2017-11-29,965.000000,968.450012,950.000000,956.200012,907.402283,44151
2017-11-30,956.200012,959.200012,940.150024,942.900024,894.781067,35046
2017-12-01,943.000000,955.750000,910.049988,917.700012,870.867126,69663
2017-12-04,927.799988,938.049988,910.000000,925.200012,877.984253,51378
2017-12-05,924.250000,940.650024,920.549988,934.950012,887.236755,64663
2017-12-06,926.000000,934.000000,905.000000,910.000000,863.560059,37200
2017-12-07,915.000000,935.849976,911.500000,931.900024,884.342468,62061
2017-12-08,932.000000,941.900024,923.000000,927.450012,880.119568,30008
2017-12-11,931.150024,954.000000,928.049988,948.400024,900.000366,59982
2017-12-12,949.000000,952.200012,929.750000,931.849976,884.294922,31142
2017-12-13,936.349976,942.750000,915.200012,919.650024,872.717590,36301
2017-12-14,930.000000,930.000000,885.000000,916.650024,869.870667,53963
2017-12-15,920.049988,933.650024,918.650024,924.549988,877.367493,26047
2017-12-18,923.950012,940.950012,885.000000,929.349976,881.922546,45028
2017-12-19,933.000000,945.849976,930.099976,939.200012,891.269897,25323
2017-12-20,935.549988,966.599976,935.200012,960.799988,911.767578,105623
2017-12-21,965.799988,967.500000,948.650024,951.200012,902.657471,36117
2017-12-22,948.099976,968.099976,946.000000,958.200012,909.300232,51120
2017-12-26,949.000000,964.750000,949.000000,960.099976,911.103210,17270
2017-12-27,961.549988,970.000000,945.849976,952.849976,904.223145,26591
2017-12-28,951.799988,958.000000,940.000000,944.700012,896.489197,15359
2017-12-29,945.000000,983.900024,944.849976,976.650024,926.808716,98958
2018-01-01,977.700012,978.000000,959.000000,965.750000,916.464905,33559
2018-01-02,970.450012,983.000000,951.349976,976.099976,926.286743,54104
2018-01-03,981.000000,1006.500000,977.549988,996.200012,945.361023,136076
2018-01-04,1003.000000,1006.250000,988.049988,997.500000,946.594666,44771
2018-01-05,1000.000000,1014.000000,998.500000,1005.549988,954.233826,65810
2018-01-08,1010.500000,1018.000000,1003.099976,1008.849976,957.365417,32435
2018-01-09,1011.049988,1013.849976,998.000000,1004.099976,952.857727,24007
2018-01-10,1004.099976,1053.000000,995.950012,1042.050049,988.871155,201281
2018-01-11,1015.000000,1056.000000,1015.000000,1037.550049,984.600830,70691
2018-01-12,1035.000000,1056.800049,1025.199951,1034.750000,981.943604,67434
2018-01-15,1040.000000,1052.000000,1031.949951,1043.099976,989.867432,52876
2018-01-16,1048.949951,1076.300049,1040.050049,1045.000000,991.670593,102158
2018-01-17,1044.900024,1061.449951,1026.900024,1045.400024,992.050110,66404
2018-01-18,1045.500000,1064.000000,1026.000000,1033.199951,980.472778,47469
2018-01-19,1040.000000,1051.000000,1018.900024,1038.550049,985.549744,69812
2018-01-22,1038.550049,1084.000000,1030.949951,1078.099976,1023.081299,78624
2018-01-23,1080.150024,1095.599976,1072.250000,1077.250000,1022.274780,50733
2018-01-24,1077.000000,1123.050049,1070.000000,1094.349976,1038.502197,152423
2018-01-25,1103.000000,1111.300049,1080.000000,1086.949951,1031.479736,55748
2018-01-29,1088.000000,1118.250000,1078.199951,1087.949951,1032.428589,63348
2018-01-30,1087.949951,1096.000000,1074.000000,1083.099976,1027.826172,29428
2018-01-31,1079.800049,1087.150024,1046.599976,1062.150024,1007.945496,44937
2018-02-01,1063.900024,1075.449951,981.849976,1025.550049,973.213257,106452
2018-02-02,1015.000000,1034.699951,990.000000,993.849976,943.130920,68853
2018-02-05,966.000000,1015.000000,960.900024,1005.400024,954.091553,49019
2018-02-06,979.000000,979.000000,927.000000,967.049988,917.698547,77446
2018-02-07,996.000000,998.500000,965.000000,973.200012,923.534729,47280
2018-02-08,972.000000,1007.950012,972.000000,994.750000,943.985046,65205
2018-02-09,960.000000,1008.400024,960.000000,999.849976,948.824707,217518
2018-02-12,1020.000000,1022.000000,1001.000000,1006.299988,954.945557,32856
2018-02-14,1013.099976,1035.250000,1009.150024,1019.900024,967.851440,39642
2018-02-15,1021.000000,1036.800049,1005.500000,1012.950012,961.256226,21796
2018-02-16,1010.000000,1030.000000,995.950012,1000.299988,949.251770,30350
2018-02-19,1010.000000,1012.400024,975.849976,984.150024,933.926025,40662
2018-02-20,980.000000,997.849976,980.000000,988.299988,937.864136,25793
2018-02-21,989.049988,1000.799988,985.000000,991.799988,941.185486,21461
2018-02-22,1000.000000,1012.000000,986.049988,996.500000,945.645691,35700
2018-02-23,1003.400024,1023.000000,1000.099976,1019.450012,967.424500,31983
2018-02-26,1028.699951,1051.000000,1018.549988,1045.449951,992.097534,61006
2018-02-27,1050.000000,1057.000000,1035.000000,1040.000000,986.925720,33452
2018-02-28,1039.000000,1066.900024,1024.849976,1053.099976,999.357178,83336
2018-03-01,1053.000000,1068.250000,1041.750000,1044.599976,991.291016,25416
2018-03-05,1040.000000,1070.000000,1018.700012,1037.400024,984.458496,62871
2018-03-06,1065.000000,1065.000000,1028.550049,1034.800049,981.991150,36935
2018-03-07,1025.900024,1040.099976,987.349976,992.500000,941.849792,65544
2018-03-08,1002.000000,1011.049988,992.000000,1003.849976,952.620605,22784
2018-03-09,1018.000000,1018.000000,994.000000,1003.400024,952.193604,19573
2018-03-12,1006.000000,1019.599976,1005.000000,1014.650024,962.869446,23412
2018-03-13,1020.000000,1022.450012,1001.000000,1011.299988,959.690369,14151
2018-03-14,1001.000000,1016.950012,1001.000000,1010.299988,958.741455,14772
2018-03-15,1000.049988,1046.800049,1000.049988,1039.000000,985.976807,28004
2018-03-16,1048.000000,1048.000000,1000.000000,1015.250000,963.438843,47112
2018-03-19,1015.150024,1015.150024,976.049988,980.099976,930.082581,29020
2018-03-20,976.000000,989.000000,955.799988,984.400024,934.163208,36425
2018-03-21,990.000000,1010.599976,989.700012,994.599976,943.842590,27031
2018-03-22,994.000000,1002.500000,987.000000,990.750000,940.189148,20739
2018-03-23,982.549988,982.549988,955.450012,965.799988,916.512390,42671
2018-03-26,958.000000,982.500000,958.000000,977.950012,928.042297,31584
2018-03-27,985.000000,1010.000000,975.000000,1006.349976,954.993042,49479
2018-03-28,1005.000000,1017.900024,981.000000,985.150024,934.874939,33625
2018-04-02,987.000000,1007.750000,987.000000,1004.049988,952.810364,23445
2018-04-03,998.099976,1007.849976,994.599976,1004.950012,953.664429,15557
2018-04-04,1010.000000,1039.000000,997.400024,1002.799988,951.624084,75430
2018-04-05,1014.000000,1027.000000,1014.000000,1021.400024,969.275024,27047
