Date,Open,High,Low,Close,Adj Close,Volume
2021-12-30,871.599976,887.700012,863.950012,870.950012,846.863281,16580
2021-12-31,873.950012,881.000000,870.450012,875.700012,851.481934,8825
2022-01-03,875.700012,887.250000,863.049988,867.549988,843.557312,6330
2022-01-04,870.000000,875.000000,855.250000,869.349976,845.307495,11542
2022-01-05,870.049988,896.000000,868.000000,884.299988,859.844055,10349
2022-01-06,885.000000,886.000000,870.000000,879.000000,854.690674,12896
2022-01-07,875.000000,883.299988,856.200012,866.049988,842.098816,15883
2022-01-10,858.849976,873.700012,858.849976,870.299988,846.231262,7749
2022-01-11,871.950012,878.349976,868.599976,872.750000,848.613464,7458
2022-01-12,865.849976,881.849976,865.500000,869.900024,845.842346,8081
2022-01-13,865.000000,879.700012,860.000000,871.099976,847.009094,11735
2022-01-14,870.000000,879.450012,855.000000,861.500000,837.674622,12660
2022-01-17,855.900024,897.000000,842.049988,865.849976,841.904297,16956
2022-01-18,921.000000,928.849976,845.099976,862.150024,838.306641,50731
2022-01-19,879.000000,879.000000,849.900024,870.299988,846.231262,20559
2022-01-20,882.950012,882.950012,861.000000,866.500000,842.536316,8602
2022-01-21,867.000000,881.150024,853.900024,859.500000,835.729919,21270
2022-01-24,875.000000,875.000000,786.349976,819.799988,797.127808,20705
2022-01-25,786.000000,837.849976,779.299988,815.799988,793.238464,19767
2022-01-27,814.000000,816.549988,793.549988,802.599976,780.403503,7512
2022-01-28,817.700012,832.500000,814.950012,819.799988,797.127808,7842
2022-01-31,842.500000,842.900024,807.200012,811.700012,789.251831,7566
2022-02-01,814.400024,831.500000,814.400024,825.549988,802.718811,8414
2022-02-02,832.000000,859.200012,832.000000,855.099976,831.451538,14222
2022-02-03,854.099976,854.099976,842.200012,851.349976,827.805298,6374
2022-02-04,863.900024,863.900024,833.400024,841.000000,817.741577,3724
2022-02-07,840.000000,873.000000,816.700012,823.299988,800.531067,30049
2022-02-08,828.150024,838.299988,805.700012,810.450012,788.036438,8664
2022-02-09,803.250000,823.250000,803.250000,814.000000,791.488281,7988
