Date,Open,High,Low,Close,Adj Close,Volume
2018-09-21,477.299988,480.000000,455.000000,470.399994,460.873871,2391
2018-09-24,470.000000,479.899994,445.000000,451.000000,441.866730,6921
2018-09-25,463.000000,465.000000,442.000000,451.750000,442.601563,5195
2018-09-26,457.500000,463.450012,445.200012,447.100006,438.045715,4398
2018-09-27,454.000000,461.000000,445.000000,449.149994,440.054230,2039
2018-09-28,448.350006,449.049988,427.000000,431.049988,422.320740,9375
2018-10-01,435.200012,447.899994,424.200012,442.200012,433.244965,7595
2018-10-03,445.000000,457.100006,436.950012,444.350006,435.351410,998
2018-10-04,436.000000,443.450012,430.600006,437.850006,428.983063,6716
2018-10-05,438.850006,439.500000,424.000000,430.750000,422.026855,1480
2018-10-08,425.000000,433.399994,405.000000,414.500000,406.105865,4904
2018-10-09,414.000000,424.000000,414.000000,420.100006,411.592529,4147
2018-10-10,420.000000,438.149994,420.000000,434.600006,425.798889,935
2018-10-11,424.399994,446.950012,423.250000,439.350006,430.452667,1465
2018-10-12,445.500000,459.950012,444.149994,454.200012,445.001984,1847
2018-10-15,455.000000,468.000000,449.000000,457.149994,447.892242,1705
2018-10-16,450.100006,462.399994,446.299988,447.750000,438.682587,13645
2018-10-17,451.000000,455.000000,446.350006,447.250000,438.192688,2357
2018-10-19,447.500000,454.850006,434.950012,446.600006,437.555847,1835
2018-10-22,455.700012,455.750000,436.950012,442.549988,433.587860,916
2018-10-23,432.200012,453.950012,431.049988,450.200012,441.082947,317
2018-10-24,447.000000,457.500000,442.350006,452.299988,443.140411,1152
2018-10-25,441.100006,450.799988,439.149994,448.250000,439.172455,1405
2018-10-26,445.899994,447.000000,432.000000,436.399994,427.562408,1697
2018-10-29,443.000000,443.200012,441.000000,441.700012,432.755127,227
2018-10-30,444.700012,444.700012,436.700012,440.700012,431.775330,762
2018-10-31,458.799988,469.000000,437.149994,443.000000,434.028748,2809
2018-11-01,444.700012,448.850006,432.000000,437.250000,428.395203,4036
2018-11-02,455.649994,457.950012,435.100006,440.200012,431.285461,3612
2018-11-05,444.500000,466.950012,444.500000,461.350006,452.007172,5451
2018-11-06,468.350006,472.000000,452.149994,455.799988,446.569519,5771
2018-11-07,455.799988,465.000000,452.200012,463.450012,454.064636,615
2018-11-09,464.000000,465.000000,460.000000,462.350006,452.986877,379
2018-11-12,457.350006,462.350006,454.000000,457.250000,447.990143,1022
2018-11-13,457.299988,468.000000,457.000000,462.950012,453.574768,4686
2018-11-14,469.549988,470.100006,459.299988,459.450012,450.145660,1302
2018-11-15,462.899994,466.600006,457.850006,461.049988,451.713196,1176
2018-11-16,456.450012,463.600006,443.700012,444.850006,435.841309,4443
2018-11-19,446.700012,449.450012,440.500000,442.850006,433.881805,1312
2018-11-20,438.100006,447.299988,435.200012,436.350006,427.513428,1052
2018-11-21,435.850006,440.000000,435.649994,439.750000,430.844574,1358
2018-11-22,439.250000,443.299988,439.250000,440.899994,431.971283,274
2018-11-26,449.149994,452.250000,431.450012,436.149994,427.317474,549
2018-11-27,437.149994,437.799988,434.000000,434.100006,425.308990,889
